 gas_q1 , gas_q2 , EFH_GasWP_aggr. , MFH_GasWP_aggr. , air_q1 , air_q2 , EFH_LuftWP_aggr. ,MFH_LuftWP_aggr.
 1.54 , 1.43 , 1.53 , 1.52 , 3.01 , 2.17 , 2.89 , 2.84 
 1.54 , 1.43 , 1.52 , 1.52 , 2.97 , 2.14 , 2.85 , 2.80 
 1.54 , 1.43 , 1.52 , 1.52 , 2.97 , 2.14 , 2.85 , 2.80 
 1.54 , 1.43 , 1.52 , 1.52 , 2.97 , 2.14 , 2.85 , 2.80 
 1.54 , 1.43 , 1.52 , 1.52 , 2.97 , 2.14 , 2.85 , 2.80 
 1.54 , 1.43 , 1.52 , 1.52 , 2.97 , 2.14 , 2.85 , 2.80 
 1.54 , 1.43 , 1.52 , 1.52 , 2.97 , 2.14 , 2.85 , 2.80 
 1.54 , 1.43 , 1.52 , 1.52 , 3.11 , 2.23 , 2.98 , 2.93 
 1.54 , 1.43 , 1.52 , 1.52 , 3.11 , 2.23 , 2.98 , 2.93 
 1.54 , 1.43 , 1.52 , 1.52 , 3.11 , 2.23 , 2.98 , 2.93 
 1.54 , 1.43 , 1.52 , 1.52 , 3.11 , 2.23 , 2.98 , 2.93 
 1.54 , 1.43 , 1.52 , 1.52 , 3.11 , 2.23 , 2.98 , 2.93 
 1.54 , 1.43 , 1.52 , 1.52 , 3.11 , 2.23 , 2.98 , 2.93 
 1.54 , 1.42 , 1.52 , 1.52 , 3.06 , 2.20 , 2.93 , 2.88 
 1.54 , 1.42 , 1.52 , 1.52 , 3.06 , 2.20 , 2.93 , 2.88 
 1.54 , 1.42 , 1.52 , 1.52 , 3.06 , 2.20 , 2.93 , 2.88 
 1.54 , 1.42 , 1.52 , 1.52 , 3.06 , 2.20 , 2.93 , 2.88 
 1.54 , 1.42 , 1.52 , 1.52 , 3.06 , 2.20 , 2.93 , 2.88 
 1.54 , 1.42 , 1.52 , 1.52 , 3.06 , 2.20 , 2.93 , 2.88 
 1.54 , 1.42 , 1.52 , 1.51 , 3.10 , 2.23 , 2.97 , 2.92 
 1.54 , 1.42 , 1.52 , 1.51 , 3.10 , 2.23 , 2.97 , 2.92 
 1.54 , 1.42 , 1.52 , 1.51 , 3.10 , 2.23 , 2.97 , 2.92 
 1.54 , 1.42 , 1.52 , 1.51 , 3.10 , 2.23 , 2.97 , 2.92 
 1.54 , 1.42 , 1.52 , 1.51 , 3.10 , 2.23 , 2.97 , 2.92 
 1.54 , 1.42 , 1.52 , 1.51 , 3.10 , 2.23 , 2.97 , 2.92 
 1.54 , 1.42 , 1.52 , 1.51 , 3.19 , 2.28 , 3.06 , 3.00 
 1.54 , 1.42 , 1.52 , 1.51 , 3.19 , 2.28 , 3.06 , 3.00 
 1.54 , 1.42 , 1.52 , 1.51 , 3.19 , 2.28 , 3.06 , 3.00 
 1.54 , 1.42 , 1.52 , 1.51 , 3.19 , 2.28 , 3.06 , 3.00 
 1.54 , 1.42 , 1.52 , 1.51 , 3.19 , 2.28 , 3.06 , 3.00 
 1.54 , 1.42 , 1.52 , 1.51 , 3.19 , 2.28 , 3.06 , 3.00 
 1.54 , 1.42 , 1.52 , 1.51 , 3.31 , 2.36 , 3.17 , 3.12 
 1.54 , 1.42 , 1.52 , 1.51 , 3.31 , 2.36 , 3.17 , 3.12 
 1.54 , 1.42 , 1.52 , 1.51 , 3.31 , 2.36 , 3.17 , 3.12 
 1.54 , 1.42 , 1.52 , 1.51 , 3.31 , 2.36 , 3.17 , 3.12 
 1.54 , 1.42 , 1.52 , 1.51 , 3.31 , 2.36 , 3.17 , 3.12 
 1.54 , 1.42 , 1.52 , 1.51 , 3.31 , 2.36 , 3.17 , 3.12 
 1.53 , 1.42 , 1.52 , 1.51 , 3.31 , 2.36 , 3.17 , 3.11 
 1.53 , 1.42 , 1.52 , 1.51 , 3.31 , 2.36 , 3.17 , 3.11 
 1.53 , 1.42 , 1.52 , 1.51 , 3.31 , 2.36 , 3.17 , 3.11 
 1.53 , 1.42 , 1.52 , 1.51 , 3.31 , 2.36 , 3.17 , 3.11 
 1.53 , 1.42 , 1.52 , 1.51 , 3.31 , 2.36 , 3.17 , 3.11 
 1.53 , 1.42 , 1.52 , 1.51 , 3.31 , 2.36 , 3.17 , 3.11 
 1.53 , 1.42 , 1.52 , 1.51 , 3.29 , 2.35 , 3.15 , 3.10 
 1.53 , 1.42 , 1.52 , 1.51 , 3.29 , 2.35 , 3.15 , 3.10 
 1.53 , 1.42 , 1.52 , 1.51 , 3.29 , 2.35 , 3.15 , 3.10 
 1.53 , 1.42 , 1.52 , 1.51 , 3.29 , 2.35 , 3.15 , 3.10 
 1.53 , 1.42 , 1.52 , 1.51 , 3.29 , 2.35 , 3.15 , 3.10 
 1.53 , 1.42 , 1.52 , 1.51 , 3.29 , 2.35 , 3.15 , 3.10 
 1.53 , 1.42 , 1.52 , 1.51 , 3.28 , 2.34 , 3.14 , 3.08 
 1.53 , 1.42 , 1.52 , 1.51 , 3.28 , 2.34 , 3.14 , 3.08 
 1.53 , 1.42 , 1.52 , 1.51 , 3.28 , 2.34 , 3.14 , 3.08 
 1.53 , 1.42 , 1.52 , 1.51 , 3.28 , 2.34 , 3.14 , 3.08 
 1.53 , 1.42 , 1.52 , 1.51 , 3.28 , 2.34 , 3.14 , 3.08 
 1.53 , 1.42 , 1.52 , 1.51 , 3.28 , 2.34 , 3.14 , 3.08 
 1.53 , 1.42 , 1.51 , 1.51 , 3.36 , 2.39 , 3.22 , 3.16 
 1.53 , 1.42 , 1.51 , 1.51 , 3.36 , 2.39 , 3.22 , 3.16 
 1.53 , 1.42 , 1.51 , 1.51 , 3.36 , 2.39 , 3.22 , 3.16 
 1.53 , 1.42 , 1.51 , 1.51 , 3.36 , 2.39 , 3.22 , 3.16 
 1.53 , 1.42 , 1.51 , 1.51 , 3.36 , 2.39 , 3.22 , 3.16 
 1.53 , 1.42 , 1.51 , 1.51 , 3.36 , 2.39 , 3.22 , 3.16 
 1.53 , 1.42 , 1.51 , 1.51 , 3.26 , 2.32 , 3.12 , 3.06 
 1.53 , 1.42 , 1.51 , 1.51 , 3.26 , 2.32 , 3.12 , 3.06 
 1.53 , 1.42 , 1.51 , 1.51 , 3.26 , 2.32 , 3.12 , 3.06 
 1.53 , 1.42 , 1.51 , 1.51 , 3.26 , 2.32 , 3.12 , 3.06 
 1.53 , 1.42 , 1.51 , 1.51 , 3.26 , 2.32 , 3.12 , 3.06 
 1.53 , 1.42 , 1.51 , 1.51 , 3.26 , 2.32 , 3.12 , 3.06 
 1.53 , 1.41 , 1.51 , 1.51 , 3.19 , 2.28 , 3.05 , 3.00 
 1.53 , 1.41 , 1.51 , 1.51 , 3.19 , 2.28 , 3.05 , 3.00 
 1.53 , 1.41 , 1.51 , 1.51 , 3.19 , 2.28 , 3.05 , 3.00 
 1.53 , 1.41 , 1.51 , 1.51 , 3.19 , 2.28 , 3.05 , 3.00 
 1.53 , 1.41 , 1.51 , 1.51 , 3.19 , 2.28 , 3.05 , 3.00 
 1.53 , 1.41 , 1.51 , 1.51 , 3.19 , 2.28 , 3.05 , 3.00 
 1.53 , 1.41 , 1.51 , 1.50 , 3.28 , 2.34 , 3.14 , 3.09 
 1.53 , 1.41 , 1.51 , 1.50 , 3.28 , 2.34 , 3.14 , 3.09 
 1.53 , 1.41 , 1.51 , 1.50 , 3.28 , 2.34 , 3.14 , 3.09 
 1.53 , 1.41 , 1.51 , 1.50 , 3.28 , 2.34 , 3.14 , 3.09 
 1.53 , 1.41 , 1.51 , 1.50 , 3.28 , 2.34 , 3.14 , 3.09 
 1.53 , 1.41 , 1.51 , 1.50 , 3.28 , 2.34 , 3.14 , 3.09 
 1.53 , 1.41 , 1.51 , 1.50 , 3.46 , 2.46 , 3.31 , 3.25 
 1.53 , 1.41 , 1.51 , 1.50 , 3.46 , 2.46 , 3.31 , 3.25 
 1.53 , 1.41 , 1.51 , 1.50 , 3.46 , 2.46 , 3.31 , 3.25 
 1.53 , 1.41 , 1.51 , 1.50 , 3.46 , 2.46 , 3.31 , 3.25 
 1.53 , 1.41 , 1.51 , 1.50 , 3.46 , 2.46 , 3.31 , 3.25 
 1.53 , 1.41 , 1.51 , 1.50 , 3.46 , 2.46 , 3.31 , 3.25 
 1.53 , 1.41 , 1.51 , 1.50 , 3.42 , 2.43 , 3.27 , 3.21 
 1.53 , 1.41 , 1.51 , 1.50 , 3.42 , 2.43 , 3.27 , 3.21 
 1.53 , 1.41 , 1.51 , 1.50 , 3.42 , 2.43 , 3.27 , 3.21 
 1.53 , 1.41 , 1.51 , 1.50 , 3.42 , 2.43 , 3.27 , 3.21 
 1.53 , 1.41 , 1.51 , 1.50 , 3.42 , 2.43 , 3.27 , 3.21 
 1.53 , 1.41 , 1.51 , 1.50 , 3.42 , 2.43 , 3.27 , 3.21 
 1.52 , 1.41 , 1.51 , 1.50 , 3.37 , 2.40 , 3.22 , 3.17 
 1.52 , 1.41 , 1.51 , 1.50 , 3.37 , 2.40 , 3.22 , 3.17 
 1.52 , 1.41 , 1.51 , 1.50 , 3.37 , 2.40 , 3.22 , 3.17 
 1.52 , 1.41 , 1.51 , 1.50 , 3.37 , 2.40 , 3.22 , 3.17 
 1.52 , 1.41 , 1.51 , 1.50 , 3.37 , 2.40 , 3.22 , 3.17 
 1.52 , 1.41 , 1.51 , 1.50 , 3.37 , 2.40 , 3.22 , 3.17 
 1.52 , 1.41 , 1.51 , 1.50 , 3.30 , 2.35 , 3.16 , 3.10 
 1.52 , 1.41 , 1.51 , 1.50 , 3.30 , 2.35 , 3.16 , 3.10 
 1.52 , 1.41 , 1.51 , 1.50 , 3.30 , 2.35 , 3.16 , 3.10 
 1.52 , 1.41 , 1.51 , 1.50 , 3.30 , 2.35 , 3.16 , 3.10 
 1.52 , 1.41 , 1.51 , 1.50 , 3.30 , 2.35 , 3.16 , 3.10 
 1.52 , 1.41 , 1.51 , 1.50 , 3.30 , 2.35 , 3.16 , 3.10 
 1.52 , 1.41 , 1.51 , 1.50 , 3.45 , 2.45 , 3.30 , 3.24 
 1.52 , 1.41 , 1.51 , 1.50 , 3.45 , 2.45 , 3.30 , 3.24 
 1.52 , 1.41 , 1.51 , 1.50 , 3.45 , 2.45 , 3.30 , 3.24 
 1.52 , 1.41 , 1.51 , 1.50 , 3.45 , 2.45 , 3.30 , 3.24 
 1.52 , 1.41 , 1.51 , 1.50 , 3.45 , 2.45 , 3.30 , 3.24 
 1.52 , 1.41 , 1.51 , 1.50 , 3.45 , 2.45 , 3.30 , 3.24 
 1.52 , 1.41 , 1.50 , 1.50 , 3.33 , 2.37 , 3.18 , 3.13 
 1.52 , 1.41 , 1.50 , 1.50 , 3.33 , 2.37 , 3.18 , 3.13 
 1.52 , 1.41 , 1.50 , 1.50 , 3.33 , 2.37 , 3.18 , 3.13 
 1.52 , 1.41 , 1.50 , 1.50 , 3.33 , 2.37 , 3.18 , 3.13 
 1.52 , 1.41 , 1.50 , 1.50 , 3.33 , 2.37 , 3.18 , 3.13 
 1.52 , 1.41 , 1.50 , 1.50 , 3.33 , 2.37 , 3.18 , 3.13 
 1.52 , 1.41 , 1.50 , 1.50 , 3.22 , 2.30 , 3.08 , 3.03 
 1.52 , 1.41 , 1.50 , 1.50 , 3.22 , 2.30 , 3.08 , 3.03 
 1.52 , 1.41 , 1.50 , 1.50 , 3.22 , 2.30 , 3.08 , 3.03 
 1.52 , 1.41 , 1.50 , 1.50 , 3.22 , 2.30 , 3.08 , 3.03 
 1.52 , 1.41 , 1.50 , 1.50 , 3.22 , 2.30 , 3.08 , 3.03 
 1.52 , 1.41 , 1.50 , 1.50 , 3.22 , 2.30 , 3.08 , 3.03 
 1.52 , 1.41 , 1.50 , 1.50 , 3.24 , 2.31 , 3.10 , 3.05 
 1.52 , 1.41 , 1.50 , 1.50 , 3.24 , 2.31 , 3.10 , 3.05 
 1.52 , 1.41 , 1.50 , 1.50 , 3.24 , 2.31 , 3.10 , 3.05 
 1.52 , 1.41 , 1.50 , 1.50 , 3.24 , 2.31 , 3.10 , 3.05 
 1.52 , 1.41 , 1.50 , 1.50 , 3.24 , 2.31 , 3.10 , 3.05 
 1.52 , 1.41 , 1.50 , 1.50 , 3.24 , 2.31 , 3.10 , 3.05 
 1.52 , 1.40 , 1.50 , 1.50 , 3.40 , 2.42 , 3.25 , 3.20 
 1.52 , 1.40 , 1.50 , 1.50 , 3.40 , 2.42 , 3.25 , 3.20 
 1.52 , 1.40 , 1.50 , 1.50 , 3.40 , 2.42 , 3.25 , 3.20 
 1.52 , 1.40 , 1.50 , 1.50 , 3.40 , 2.42 , 3.25 , 3.20 
 1.52 , 1.40 , 1.50 , 1.50 , 3.40 , 2.42 , 3.25 , 3.20 
 1.52 , 1.40 , 1.50 , 1.50 , 3.40 , 2.42 , 3.25 , 3.20 
 1.52 , 1.40 , 1.50 , 1.49 , 3.38 , 2.40 , 3.23 , 3.17 
 1.52 , 1.40 , 1.50 , 1.49 , 3.38 , 2.40 , 3.23 , 3.17 
 1.52 , 1.40 , 1.50 , 1.49 , 3.38 , 2.40 , 3.23 , 3.17 
 1.52 , 1.40 , 1.50 , 1.49 , 3.38 , 2.40 , 3.23 , 3.17 
 1.52 , 1.40 , 1.50 , 1.49 , 3.38 , 2.40 , 3.23 , 3.17 
 1.52 , 1.40 , 1.50 , 1.49 , 3.38 , 2.40 , 3.23 , 3.17 
 1.52 , 1.40 , 1.50 , 1.49 , 3.32 , 2.36 , 3.17 , 3.12 
 1.52 , 1.40 , 1.50 , 1.49 , 3.32 , 2.36 , 3.17 , 3.12 
 1.52 , 1.40 , 1.50 , 1.49 , 3.32 , 2.36 , 3.17 , 3.12 
 1.52 , 1.40 , 1.50 , 1.49 , 3.32 , 2.36 , 3.17 , 3.12 
 1.52 , 1.40 , 1.50 , 1.49 , 3.32 , 2.36 , 3.17 , 3.12 
 1.52 , 1.40 , 1.50 , 1.49 , 3.32 , 2.36 , 3.17 , 3.12 
 1.52 , 1.40 , 1.50 , 1.49 , 3.28 , 2.34 , 3.13 , 3.08 
 1.52 , 1.40 , 1.50 , 1.49 , 3.28 , 2.34 , 3.13 , 3.08 
 1.52 , 1.40 , 1.50 , 1.49 , 3.28 , 2.34 , 3.13 , 3.08 
 1.52 , 1.40 , 1.50 , 1.49 , 3.28 , 2.34 , 3.13 , 3.08 
 1.52 , 1.40 , 1.50 , 1.49 , 3.28 , 2.34 , 3.13 , 3.08 
 1.52 , 1.40 , 1.50 , 1.49 , 3.28 , 2.34 , 3.13 , 3.08 
 1.51 , 1.40 , 1.50 , 1.49 , 3.49 , 2.48 , 3.34 , 3.28 
 1.51 , 1.40 , 1.50 , 1.49 , 3.49 , 2.48 , 3.34 , 3.28 
 1.51 , 1.40 , 1.50 , 1.49 , 3.49 , 2.48 , 3.34 , 3.28 
 1.51 , 1.40 , 1.50 , 1.49 , 3.49 , 2.48 , 3.34 , 3.28 
 1.51 , 1.40 , 1.50 , 1.49 , 3.49 , 2.48 , 3.34 , 3.28 
 1.51 , 1.40 , 1.50 , 1.49 , 3.49 , 2.48 , 3.34 , 3.28 
 1.51 , 1.40 , 1.50 , 1.49 , 3.47 , 2.47 , 3.32 , 3.26 
 1.51 , 1.40 , 1.50 , 1.49 , 3.47 , 2.47 , 3.32 , 3.26 
 1.51 , 1.40 , 1.50 , 1.49 , 3.47 , 2.47 , 3.32 , 3.26 
 1.51 , 1.40 , 1.50 , 1.49 , 3.47 , 2.47 , 3.32 , 3.26 
 1.51 , 1.40 , 1.50 , 1.49 , 3.47 , 2.47 , 3.32 , 3.26 
 1.51 , 1.40 , 1.50 , 1.49 , 3.47 , 2.47 , 3.32 , 3.26 
 1.51 , 1.40 , 1.50 , 1.49 , 3.48 , 2.47 , 3.33 , 3.27 
 1.51 , 1.40 , 1.50 , 1.49 , 3.48 , 2.47 , 3.33 , 3.27 
 1.51 , 1.40 , 1.50 , 1.49 , 3.48 , 2.47 , 3.33 , 3.27 
 1.51 , 1.40 , 1.50 , 1.49 , 3.48 , 2.47 , 3.33 , 3.27 
 1.51 , 1.40 , 1.50 , 1.49 , 3.48 , 2.47 , 3.33 , 3.27 
 1.51 , 1.40 , 1.50 , 1.49 , 3.48 , 2.47 , 3.33 , 3.27 
 1.51 , 1.40 , 1.49 , 1.49 , 3.45 , 2.46 , 3.30 , 3.25 
 1.51 , 1.40 , 1.49 , 1.49 , 3.45 , 2.46 , 3.30 , 3.25 
 1.51 , 1.40 , 1.49 , 1.49 , 3.45 , 2.46 , 3.30 , 3.25 
 1.51 , 1.40 , 1.49 , 1.49 , 3.45 , 2.46 , 3.30 , 3.25 
 1.51 , 1.40 , 1.49 , 1.49 , 3.45 , 2.46 , 3.30 , 3.25 
 1.51 , 1.40 , 1.49 , 1.49 , 3.45 , 2.46 , 3.30 , 3.25 
 1.51 , 1.40 , 1.49 , 1.49 , 3.66 , 2.60 , 3.50 , 3.44 
 1.51 , 1.40 , 1.49 , 1.49 , 3.66 , 2.60 , 3.50 , 3.44 
 1.51 , 1.40 , 1.49 , 1.49 , 3.66 , 2.60 , 3.50 , 3.44 
 1.51 , 1.40 , 1.49 , 1.49 , 3.66 , 2.60 , 3.50 , 3.44 
 1.51 , 1.40 , 1.49 , 1.49 , 3.66 , 2.60 , 3.50 , 3.44 
 1.51 , 1.40 , 1.49 , 1.49 , 3.66 , 2.60 , 3.50 , 3.44 
 1.51 , 1.40 , 1.49 , 1.49 , 3.57 , 2.53 , 3.41 , 3.35 
 1.51 , 1.40 , 1.49 , 1.49 , 3.57 , 2.53 , 3.41 , 3.35 
 1.51 , 1.40 , 1.49 , 1.49 , 3.57 , 2.53 , 3.41 , 3.35 
 1.51 , 1.40 , 1.49 , 1.49 , 3.57 , 2.53 , 3.41 , 3.35 
 1.51 , 1.40 , 1.49 , 1.49 , 3.57 , 2.53 , 3.41 , 3.35 
 1.51 , 1.40 , 1.49 , 1.49 , 3.57 , 2.53 , 3.41 , 3.35 
 1.51 , 1.39 , 1.49 , 1.49 , 3.46 , 2.46 , 3.31 , 3.25 
 1.51 , 1.39 , 1.49 , 1.49 , 3.46 , 2.46 , 3.31 , 3.25 
 1.51 , 1.39 , 1.49 , 1.49 , 3.46 , 2.46 , 3.31 , 3.25 
 1.51 , 1.39 , 1.49 , 1.49 , 3.46 , 2.46 , 3.31 , 3.25 
 1.51 , 1.39 , 1.49 , 1.49 , 3.46 , 2.46 , 3.31 , 3.25 
 1.51 , 1.39 , 1.49 , 1.49 , 3.46 , 2.46 , 3.31 , 3.25 
 1.51 , 1.39 , 1.49 , 1.49 , 3.38 , 2.41 , 3.24 , 3.18 
 1.51 , 1.39 , 1.49 , 1.49 , 3.38 , 2.41 , 3.24 , 3.18 
 1.51 , 1.39 , 1.49 , 1.49 , 3.38 , 2.41 , 3.24 , 3.18 
 1.51 , 1.39 , 1.49 , 1.49 , 3.38 , 2.41 , 3.24 , 3.18 
 1.51 , 1.39 , 1.49 , 1.49 , 3.38 , 2.41 , 3.24 , 3.18 
 1.51 , 1.39 , 1.49 , 1.49 , 3.38 , 2.41 , 3.24 , 3.18 
 1.51 , 1.39 , 1.49 , 1.48 , 3.43 , 2.44 , 3.28 , 3.22 
 1.51 , 1.39 , 1.49 , 1.48 , 3.43 , 2.44 , 3.28 , 3.22 
 1.51 , 1.39 , 1.49 , 1.48 , 3.43 , 2.44 , 3.28 , 3.22 
 1.51 , 1.39 , 1.49 , 1.48 , 3.43 , 2.44 , 3.28 , 3.22 
 1.51 , 1.39 , 1.49 , 1.48 , 3.43 , 2.44 , 3.28 , 3.22 
 1.51 , 1.39 , 1.49 , 1.48 , 3.43 , 2.44 , 3.28 , 3.22 
 1.51 , 1.39 , 1.49 , 1.48 , 3.35 , 2.39 , 3.21 , 3.15 
 1.51 , 1.39 , 1.49 , 1.48 , 3.35 , 2.39 , 3.21 , 3.15 
 1.51 , 1.39 , 1.49 , 1.48 , 3.35 , 2.39 , 3.21 , 3.15 
 1.51 , 1.39 , 1.49 , 1.48 , 3.35 , 2.39 , 3.21 , 3.15 
 1.51 , 1.39 , 1.49 , 1.48 , 3.35 , 2.39 , 3.21 , 3.15 
 1.51 , 1.39 , 1.49 , 1.48 , 3.35 , 2.39 , 3.21 , 3.15 
